SKU DA PLATAFORMA,SKU SÊNIOR,PLATAFORMA,,,SANDRINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUYCLOCK,,,,,,,,,,,,,,,,,,,,FECHAMENTO DE ESTOQUE E VENDA,,,
SKU DA BLING,,,,CD SP,,,CD MG,,,MELI SANDRINI SP,,,MELI SANDRINI MG,,,AMAZON SANDRINI SP,,,AMAZON SANDRINI MG,,,MAGALU SANDRINI SP,,,SHOPEE SPORTS SANDRINI SP,,,SHOPEE  MENSWEAR SANDRINI SP,,,DAFITI SANDRINI SP,,,NETSHOES,,,,CD SP,,,CD MG,,,MELI BUYCLOCK SP,,,MELI BUYCLOCK MG,,,MAGALU BUYCLOCKSP,,,AMAZON BUYCLOCK SP,,,SHOPEE BUYCLOCK SP,,,FINAL,,,
SKU COMUM,SKU SÊNIOR,,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS,ESTOQUE APTO,ESTOQUE GERAL,VENDAS GERAL,é para colocar
1273908CBRDTGG,,MELI SANDRINI SP,,,,,,,,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,sim
139492180CPTT100,SP139492180AACNCN100014,MELI SANDRINI MG,,,,,,,,0,0,0,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,11,sim
139492180CPTT105,SP139492180AACNCN100013,MELI SANDRINI MG,,,,,,,,0,0,0,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,sim
139492180CPTT85,SP139492180AACNCN850016,MELI SANDRINI MG,,,,,,,,0,0,0,,,10,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,10,sim
139492180CPTT90,SP139492180AACNCN900003,MELI SANDRINI MG,,,,,,,,,,,,,19,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,19,sim
139492180CPTT95,SP139492180AACNCN950015,MELI SANDRINI MG,,,,,,,,0,0,0,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13,sim
18088-G,,DAFITI SANDRINI SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,68,0,,,,,,,,,,,,,,,,,,,,,,,,,,34,68,0,sim
18088-GG,,DAFITI SANDRINI SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,38,76,2,sim
18088-M,,DAFITI SANDRINI SP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,0,sim
20785G0SVNA2,20785G0SVNA2,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,,11,11,0,,,,0,0,0,,,,,,,11,51,0,sim
20929GOSVNA2,20929GOSVNA2,CD SP BUYCLOCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,1,1,0,,,,0,0,0,,,,,,,1,81,0,sim
